[Wed Sep 21 18:44:32 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -3 | Line: 3 | 
[Wed Sep 21 19:40:19 EEST 2022] MihiBlu | Location: X: -67 Y: 66 Z: -4 | Line: 0 | 
[Wed Sep 21 19:40:19 EEST 2022] MihiBlu | Location: X: -67 Y: 66 Z: -4 | Line: 1 | Wood Block
[Wed Sep 21 19:40:19 EEST 2022] MihiBlu | Location: X: -67 Y: 66 Z: -4 | Line: 2 | 
[Wed Sep 21 19:40:19 EEST 2022] MihiBlu | Location: X: -67 Y: 66 Z: -4 | Line: 3 | 
[Wed Sep 21 19:40:30 EEST 2022] MihiBlu | Location: X: -65 Y: 64 Z: -5 | Line: 0 | 
[Wed Sep 21 19:40:30 EEST 2022] MihiBlu | Location: X: -65 Y: 64 Z: -5 | Line: 1 | Primary blocks
[Wed Sep 21 19:40:30 EEST 2022] MihiBlu | Location: X: -65 Y: 64 Z: -5 | Line: 2 | 
[Wed Sep 21 19:40:30 EEST 2022] MihiBlu | Location: X: -65 Y: 64 Z: -5 | Line: 3 | 
[Wed Sep 21 19:59:25 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 0 | 
[Wed Sep 21 19:59:25 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 1 | Peculair Blocks
[Wed Sep 21 19:59:25 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 2 | 
[Wed Sep 21 19:59:25 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 3 | 
[Wed Sep 21 19:59:41 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 0 | 
[Wed Sep 21 19:59:41 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 1 | Peculair Blocks
[Wed Sep 21 19:59:41 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 2 | 
[Wed Sep 21 19:59:41 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 3 | 
[Wed Sep 21 20:01:20 EEST 2022] MihiBlu | Location: X: -67 Y: 66 Z: -4 | Line: 0 | 
[Wed Sep 21 20:01:20 EEST 2022] MihiBlu | Location: X: -67 Y: 66 Z: -4 | Line: 1 | Wood Block
[Wed Sep 21 20:01:20 EEST 2022] MihiBlu | Location: X: -67 Y: 66 Z: -4 | Line: 2 | 
[Wed Sep 21 20:01:20 EEST 2022] MihiBlu | Location: X: -67 Y: 66 Z: -4 | Line: 3 | 
[Sat Sep 24 21:05:58 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -4 | Line: 0 | 
[Sat Sep 24 21:05:58 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -4 | Line: 1 | Fancy Blocks
[Sat Sep 24 21:05:58 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -4 | Line: 2 | 
[Sat Sep 24 21:05:58 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -4 | Line: 3 | 
[Sat Sep 24 22:33:35 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -4 | Line: 0 | 
[Sat Sep 24 22:33:35 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -4 | Line: 1 | Fancy Blocks
[Sat Sep 24 22:33:35 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -4 | Line: 2 | 
[Sat Sep 24 22:33:35 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -4 | Line: 3 | 
[Sun Sep 25 17:10:48 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -4 | Line: 0 |  
[Sun Sep 25 17:10:48 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -4 | Line: 1 | Garden Blocks
[Sun Sep 25 17:10:48 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -4 | Line: 2 | 
[Sun Sep 25 17:10:48 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -4 | Line: 3 | 
[Sun Sep 25 19:39:57 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -6 | Line: 0 | 
[Sun Sep 25 19:39:57 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -6 | Line: 1 | For othes
[Sun Sep 25 19:39:57 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -6 | Line: 2 | 
[Sun Sep 25 19:39:57 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -6 | Line: 3 | 
[Sun Sep 25 19:59:50 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -6 | Line: 0 | 
[Sun Sep 25 19:59:50 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -6 | Line: 1 | For othes
[Sun Sep 25 19:59:50 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -6 | Line: 2 | 
[Sun Sep 25 19:59:50 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -6 | Line: 3 | 
[Sun Sep 25 21:07:46 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -6 | Line: 0 | 
[Sun Sep 25 21:07:46 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -6 | Line: 1 | For othes
